,시군구코드,신고일자,업소명,영업상태코드,영업상태,시군구
4,3110000,20031114,우신동물병원,0,정상,은평구
9,3210000,20051230,다니엘동물병원,0,정상,서초구
12,3210000,20040414,이상록동물병원,0,정상,서초구
18,3210000,20030113,수동물병원,0,정상,서초구
33,3110000,20040608,메디펫동물병원,0,정상,은평구
39,3110000,20050816,한수24시동물병원,0,정상,은평구
40,3110000,20060126,로얄동물병원,0,정상,은평구
47,3110000,20021203,금쪽같은내새끼 동물병원,0,정상,은평구
50,3100000,20060127,LK 동물병원,0,정상,노원구
51,3100000,20060201,브라운동물병원,0,정상,노원구
52,3100000,20060407,수락 동물병원,0,정상,노원구
56,3100000,19990521,은빛동물병원,0,정상,노원구
59,3100000,20010523,미래동물병원,0,정상,노원구
63,3100000,20040401,스누피동물병원,0,정상,노원구
67,3110000,19750125,응암동물병원,0,정상,은평구
69,3110000,19881111,김정복동물병원,0,정상,은평구
70,3110000,19900306,불광동물병원,0,정상,은평구
73,3110000,19990508,오거리동물병원,0,정상,은평구
74,3110000,20000321,LOVE MY PET 동물병원,0,정상,은평구
76,3100000,20021230,참동물병원,0,정상,노원구
77,3100000,20030130,한강동물병원,0,정상,노원구
80,3060000,19960326,엔젤동물병원,0,정상,중랑구
81,3060000,20030528,서울우유협동조합유우진료소,0,정상,중랑구
83,3060000,20000229,하스펫탈동물병원,0,정상,중랑구
88,3060000,19950802,보람동물병원,0,정상,중랑구
89,3080000,20020411,현대종합동물병원,0,정상,강북구
90,3080000,20021015,솔샘동물병원,0,정상,강북구
91,3080000,20020619,애니케어 동물병원 수유점,0,정상,강북구
96,3080000,19920818,삼양동물병원,0,정상,강북구
98,3010000,20040514,차지우동물병원,0,정상,중구
105,3080000,19990107,사랑동물병원,0,정상,강북구
108,3080000,20030407,대형동물병원,0,정상,강북구
109,3040000,20120612,다온동물병원,0,정상,광진구
110,3230000,20091202,에코동물병원,0,정상,송파구
118,3210000,20060906,서래동물병원,0,정상,서초구
122,3050000,20031024,안암동물병원,0,정상,동대문구
129,3060000,20060223,진서동물병원,0,정상,중랑구
130,3060000,20060104,주연동물병원,0,정상,중랑구
131,3090000,20050620,쿨펫동물병원,0,정상,도봉구
135,3150000,20000620,SKY동물병원,0,정상,강서구
140,3050000,19900801,심재웅동물병원,0,정상,동대문구
149,3050000,19980210,뉴월드동물병원,0,정상,동대문구
153,3050000,19990818,애니케어동물병원,0,정상,동대문구
154,3150000,20050426,와우동물병원,0,정상,강서구
158,3150000,20050907,도그플러스 동물병원,0,정상,강서구
159,3150000,20060307,세인트동물병원,0,정상,강서구
161,3140000,19900130,우신동물병원,0,정상,양천구
162,3140000,19900223,강현림 종합동물병원,0,정상,양천구
167,3140000,19990309,나우동물종합병원,0,정상,양천구
168,3140000,19940318,해성동물병원,0,정상,양천구
172,3140000,20020503,필동물종합병원,0,정상,양천구
173,3140000,20020605,혜인종합 동물병원,0,정상,양천구
178,3090000,20030509,동물병원 WITH,0,정상,도봉구
182,3160000,19831010,오류동물병원,0,정상,구로구
184,3160000,19931220,사랑동물병원,0,정상,구로구
185,3160000,19981118,금강종합동물병원,0,정상,구로구
189,3160000,20030121,신도림동물병원,0,정상,구로구
190,3160000,19990128,개봉동물병원,0,정상,구로구
192,3160000,20040410,굿모닝 동물병원,0,정상,구로구
194,3160000,20041124,한샘종합동물병원,0,정상,구로구
195,3160000,20050604,쿨펫동물병원,0,정상,구로구
197,3040000,20050111,쥬라기동물병원,0,정상,광진구
202,3090000,19900919,퓨리나동물병원,0,정상,도봉구
203,3090000,19950707,화신종합동물병원,0,정상,도봉구
204,3090000,19990526,한빛동물병원,0,정상,도봉구
207,3090000,20021126,가나동물병원,0,정상,도봉구
211,3000000,20011211,해동물병원,0,정상,종로구
215,3230000,20060125,호수동물병원,0,정상,송파구
220,3050000,19990414,그랜드동물병원,0,정상,동대문구
222,3050000,20130326,제연동물병원,0,정상,동대문구
223,3050000,19970509,박철환동물병원,0,정상,동대문구
242,3150000,20021205,우장동물병원,0,정상,강서구
243,3150000,20021205,강서동물병원,0,정상,강서구
245,3150000,20021205,미래동물병원,0,정상,강서구
246,3150000,20021205,염창제일동물병원,0,정상,강서구
251,3230000,19900808,이재풍동물병원,0,정상,송파구
253,3230000,19910218,영국동물병원,0,정상,송파구
254,3230000,19910426,노아동물병원,0,정상,송파구
257,3230000,19930713,오주동물병원,0,정상,송파구
258,3230000,19940629,김민재동물병원,0,정상,송파구
267,3230000,19990108,가락종합동물병원,0,정상,송파구
283,3230000,20010621,송파동물종합병원,0,정상,송파구
290,3230000,20020215,동물의왕국동물병원,0,정상,송파구
292,3230000,20020501,늘푸른동물병원,0,정상,송파구
295,3230000,20020916,잠실종합동물병원,0,정상,송파구
298,3020000,20131028,퍼스동물병원,0,정상,용산구
315,3220000,20030719,서경석동물병원,0,정상,강남구
329,3220000,20040507,우리집동물병원,0,정상,강남구
334,3040000,20001127,피카소동물병원,0,정상,광진구
336,3040000,20000831,시민동물병원,0,정상,광진구
345,3040000,20030926,광진동물의료센터,0,정상,광진구
346,3040000,20000721,용마동물병원,0,정상,광진구
370,3220000,20050225,퍼피즌동물병원,0,정상,강남구
373,3220000,20050414,논현동물병원,0,정상,강남구
386,3230000,20030507,준동물병원,0,정상,송파구
391,3230000,20040203,에버펫 동물병원,0,정상,송파구
402,3140000,20060214,일오삼동물병원,0,정상,양천구
405,3140000,20030424,토론토 동물병원,0,정상,양천구
409,3140000,20040117,참사랑동물병원,0,정상,양천구
412,3230000,20110805,봄빛 동물병원,0,정상,송파구
413,3210000,20030204,내방동물병원,0,정상,서초구
414,3060000,19920703,혜원동물병원,0,정상,중랑구
415,3060000,19961112,동부제일동물병원,0,정상,중랑구
416,3060000,20010509,진정훈동물병원,0,정상,중랑구
417,3080000,19970818,동물병원 위드,0,정상,강북구
418,3060000,20060223,세진동물병원,0,정상,중랑구
419,3150000,20021213,서울플러스종합동물병원,0,정상,강서구
421,3130000,20031208,동물사랑동물병원,0,정상,마포구
425,3050000,20051025,디아크동물병원,0,정상,동대문구
429,3090000,20030828,현대종합동물병원,0,정상,도봉구
430,3230000,19990713,하트동물메디컬센터,0,정상,송파구
433,3030000,20030123,함께하는동물병원,0,정상,성동구
434,3030000,20030124,오렌지동물병원,0,정상,성동구
435,3030000,20030415,성수동물병원,0,정상,성동구
440,3220000,19910215,청담동물병원,0,정상,강남구
444,3220000,19931101,삼성종합동물병원,0,정상,강남구
455,3220000,20001028,강남 25시동물병원,0,정상,강남구
475,3040000,20020307,방주종합동물병원,0,정상,광진구
476,3040000,19990320,킴스동물종합병원,0,정상,광진구
477,3160000,20100317,구로종합동물병원,0,정상,구로구
478,3150000,20100317,파스텔동물병원,0,정상,강서구
480,3240000,20030607,둔촌동물병원,0,정상,강동구
481,3240000,20030607,해태동물병원,0,정상,강동구
484,3240000,19990126,피카소동물병원,0,정상,강동구
485,3240000,19990914,세종동물병원,0,정상,강동구
488,3240000,20000531,가나동물병원,0,정상,강동구
490,3240000,20021030,사랑이있는동물병원,0,정상,강동구
503,3020000,20021230,원효종합동물병원,0,정상,용산구
510,3020000,20030801,한사랑동물병원,0,정상,용산구
522,3240000,20040531,박형우동물병원,0,정상,강동구
528,3020000,20051104,펫토이동물병원,0,정상,용산구
534,3070000,20000314,나래종합동물병원,0,정상,성북구
535,3070000,19990106,한사랑동물병원,0,정상,성북구
537,3070000,20000331,다나동물병원,0,정상,성북구
538,3070000,20000801,서울종합동물병원,0,정상,성북구
541,3070000,20010507,대학동물병원,0,정상,성북구
