,사업장명,소재지전체주소,도로명전체주소,영업상태명,gu
0,솔동물약국,서울특별시 은평구 진관동 6번지 702동 113호,서울특별시 은평구 진관4로 77 702동 113호 (진관동),운영중,
1,봄약국,,서울특별시 서초구 헌릉로8길 45 상가동 2층 203호 (내곡동 서초포레스타2단지),운영중,서초구
2,우리들약국,서울특별시 서초구 반포동 32-2번지 동화반포프라자빌딩 105호,서울특별시 서초구 서초중앙로 230 (반포동 동화반포프라자빌딩),운영중,양천구
3,보룡동물약국,서울특별시 양천구 목동 613-5번지 ,서울특별시 양천구 목동중앙북로 3 (목동),운영중,양천구
4,백십자약국,서울특별시 양천구 신월동 575-30번지 ,서울특별시 양천구 신월로 176 (신월동),운영중,양천구
5,수정약국,서울특별시 양천구 신정동 1031-1번지 ,서울특별시 양천구 중앙로 276 (신정동),운영중,양천구
6,은혜약국,서울특별시 양천구 신정동 908-15번지 1층 ,서울특별시 양천구 오목로 193 1층 (신정동),운영중,양천구
7,우주약국,서울특별시 양천구 신정동 314번지 목동8단지상가 113호 ,서울특별시 양천구 목동서로 280 (신정동 목동8단지상가 113호),운영중,양천구
8,한솔약국,서울특별시 양천구 신정동 323-16번지 대영프라자 109호 ,서울특별시 양천구 목동동로 63 (신정동 대영프라자 109호),운영중,양천구
9,메디팜금성약국,서울특별시 양천구 신월동 183-24번지 ,서울특별시 양천구 남부순환로40가길 15-1 (신월동),운영중,양천구
10,유명약국,서울특별시 양천구 신월동 550-3번지 1층 104호 ,서울특별시 양천구 신월로 164 1층 104호 (신월동),운영중,양천구
11,목동정문약국,서울특별시 양천구 목동 909-5번지 1층 105호 ,서울특별시 양천구 목동동로 435 1층 105호 (목동),운영중,양천구
12,김약국,서울특별시 양천구 신월동 931-1번지 ,서울특별시 양천구 지양로 75 (신월동),운영중,양천구
13,신왕약국,서울특별시 양천구 신월동 178-15번지 ,서울특별시 양천구 남부순환로40길 50 (신월동),운영중,양천구
14,대우실로암약국,서울특별시 양천구 신월동 18-4번지 ,서울특별시 양천구 월정로50길 10 (신월동),운영중,양천구
15,양천동물약국,서울특별시 양천구 신월동 110-1번지 은성상가 ,서울특별시 양천구 곰달래로5길 30 (신월동 은성상가),운영중,양천구
16,목동세명약국,서울특별시 양천구 목동 610-14번지 ,서울특별시 양천구 목동중앙북로 27 (목동),운영중,노원구
17,중앙약국,서울특별시 노원구 상계동 389-641번지 ,서울특별시 노원구 상계로27길 32 1층 (상계동),운영중,동작구
18,보라매대학약국,서울특별시 동작구 신대방동 395-62번지 101호,서울특별시 동작구 보라매로5길 23 (신대방동 삼성보라매옴니타워),운영중,노원구
19,EWHA우리약국,서울특별시 노원구 공릉동 517-31번지 ,서울특별시 노원구 동일로 1044 1층 (공릉동),운영중,관악구
20,밝은미소약국,서울특별시 관악구 봉천동 463-4번지 107호,서울특별시 관악구 양녕로 46 107호 (봉천동 메카플러스),운영중,서초구
21,세븐약국,서울특별시 서초구 서초동 1553-3번지 스타갤러리브릿지 703호,서울특별시 서초구 서초대로 250 703호 (서초동 스타갤러리브릿지),운영중,서초구
22,밝은약국,서울특별시 서초구 서초동 1303-10번지 서초한일유앤아이주상복합 106호,서울특별시 서초구 사평대로56길 7 106호 (서초동 서초한일유앤아이주상복합),운영중,
23,한우리 약국,,서울특별시 마포구 망원로 73 (망원동),운영중,중랑구
24,늘푸른솔약국,서울특별시 중랑구 면목동 115-1번지 ,서울특별시 중랑구 겸재로 178 (면목동),운영중,강남구
25,테헤란약국,서울특별시 강남구 역삼동 705-27번지 1층 ,서울특별시 강남구 테헤란로 337 1층 (역삼동),운영중,성북구
26,참약사약국,서울특별시 성북구 종암동 3-686번지 1층 ,서울특별시 성북구 종암로 122 1층 (종암동 시원빌딩),운영중,
27,아이파크약국,,서울특별시 강동구 동남로79길 26 101호 (고덕동 고덕아이파크),운영중,강서구
28,한빛약국,서울특별시 강서구 등촌동 695-1번지 ,서울특별시 강서구 강서로62길 98 102호 (등촌동 신한은행등촌점),운영중,강남구
29,구인당약국,서울특별시 강남구 대치동 511번지 미도상가 110호 ,서울특별시 강남구 삼성로 150 (대치동 한보미도맨션),운영중,서초구
30,서래약국,서울특별시 서초구 방배동 773-17번지 1층 ,서울특별시 서초구 방배로 234 1층 (방배동 아이투비빌딩),운영중,도봉구
31,금빛약국,서울특별시 도봉구 창동 569-85번지 ,서울특별시 도봉구 덕릉로 238 1층 (창동),운영중,노원구
32,새고운약국,서울특별시 노원구 공릉동 615-21번지 ,서울특별시 노원구 동일로 1003 (공릉동),운영중,강서구
33,햇빛약국,서울특별시 강서구 화곡동 772-85번지 ,서울특별시 강서구 등촌로 59-1 (화곡동),운영중,송파구
34,팜코리아약국,서울특별시 송파구 석촌동 277-1번지 ,서울특별시 송파구 가락로 99 (석촌동),운영중,광진구
35,명성약국,서울특별시 광진구 구의동 230-23번지 ,서울특별시 광진구 광나루로40길 14 (구의동),운영중,도봉구
36,하나로약국,서울특별시 도봉구 창동 1-15번지 ,서울특별시 도봉구 마들로11길 20 (창동 농협창동유통센타),운영중,
37,압구정온누리약국,,서울특별시 강남구 압구정로 164 105호 (신사동 아세아빌딩),운영중,강북구
38,재원약국,서울특별시 강북구 미아동 1356번지 상가동 120호,서울특별시 강북구 오패산로30길 30 상가동 120호 (미아동 경남아너스빌),운영중,동작구
39,새보라매약국,서울특별시 동작구 신대방동 706번지 보라매우성상가 101호,서울특별시 동작구 보라매로5길 5 (신대방동 보라매우성아파트),운영중,
40,스마일약국,,서울특별시 마포구 백범로37길 26 (신공덕동),운영중,
41,조은온누리약국,,서울특별시 동대문구 장한로 51 1층 (장안동),운영중,강서구
42,새서울약국,서울특별시 강서구 가양동 1479-10번지 ,서울특별시 강서구 양천로57길 9-7 (가양동),운영중,서대문구
43,기린약국,서울특별시 서대문구 홍제동 299-12번지 ,서울특별시 서대문구 통일로 468 1층 (홍제동),운영중,강서구
44,애플약국,서울특별시 강서구 염창동 264-37번지 ,서울특별시 강서구 양천로 684 1층 (염창동 부성빌딩),운영중,성북구
45,정릉약국,서울특별시 성북구 정릉동 400-25번지 ,서울특별시 성북구 보국문로 45 (정릉동),운영중,
46,라이프약국,,서울특별시 마포구 신촌로 190 1층 (염리동),운영중,강남구
47,신분당약국,서울특별시 강남구 역삼동 858번지 ,서울특별시 강남구 강남대로 지하 396 23호 (역삼동 강남역),운영중,강남구
48,라인약국,서울특별시 강남구 역삼동 830-70번지 1층 ,서울특별시 강남구 역삼로7길 3 1층 (역삼동),운영중,
49,온누리조은약국,,서울특별시 양천구 곰달래로5길 30 (신월동 은성아파트),운영중,송파구
50,하비온누리약국,서울특별시 송파구 문정동 618번지 ,서울특별시 송파구 송파대로 111 205동 414호 (문정동 파크하비오),운영중,양천구
51,새서울약국,서울특별시 양천구 목동 603-5번지 ,서울특별시 양천구 공항대로 558 1층 (목동),운영중,
52,팜프라자약국,,서울특별시 구로구 디지털로 300 지하1층 16호 (구로동 지밸리비즈플라자),운영중,서초구
53,한신메디칼약국,서울특별시 서초구 잠원동 65-32번지 65-34 지층 ,서울특별시 서초구 잠원로 94 (잠원동),운영중,서초구
54,장수알파약국,서울특별시 서초구 서초동 1603-20번지 ,서울특별시 서초구 서초중앙로 38 (서초동),운영중,서초구
