,사업장명,소재지전체주소,도로명전체주소,영업상태명,gu
0,한국엠에스디동물약품(주),서울특별시 중구 남대문로5가 541번지 ,서울특별시 중구 한강대로 416 22층 (남대문로5가 서울스퀘어),운영중,성동구
1,주식회사성보애니멀헬스,서울특별시 성동구 성수동2가 280-15번지 802호,서울특별시 성동구 광나루로8길 10 802호 (성수동2가 에이스성수타워1),운영중,광진구
2,주식회사 카브,서울특별시 광진구 화양동 1번지 ,서울특별시 광진구 능동로 120 미래에너지관동 203204호 (화양동 건국대학교),운영중,동대문구
3,(주)팜스홀,서울특별시 동대문구 용두동 129-167번지 2층 ,,운영중,동대문구
4,(주)카카오팜,서울특별시 동대문구 장안동 430-2번지 ,서울특별시 동대문구 장한로 47 4층 (장안동 우측),운영중,중랑구
5,일승물산(주),서울특별시 중랑구 묵동 48-22번지 ,서울특별시 중랑구 공릉로18길 68 (묵동),운영중,중랑구
6,(주)에이팜,서울특별시 중랑구 면목동 191-87번지 성경빌딩 ,서울특별시 중랑구 봉우재로1길 3 2층 (면목동),운영중,성북구
7,서울수의약품(주),서울특별시 성북구 안암동5가 110-126번지 ,서울특별시 성북구 안암로 47-1 (안암동5가),운영중,도봉구
8,대호상사,서울특별시 도봉구 창동 667-5번지 101호,서울특별시 도봉구 노해로62길 80 101호 (창동),운영중,노원구
9,대암축산,서울특별시 노원구 공릉동 ,서울특별시 노원구 동일로190길 41 4호 (공릉동 진영빌딩),운영중,노원구
10,(주)협성로하스,서울특별시 노원구 공릉동 571-38번지 진성빌딩 401호 ,,운영중,노원구
11,아이메디,서울특별시 노원구 상계동 1293번지 ,서울특별시 노원구 덕릉로118길 29 상가동 3층 309호 (상계동 불암현대아파트),운영중,은평구
12,주식회사 삼양애니팜,서울특별시 은평구 갈현동 404-5번지 6층 ,서울특별시 은평구 통일로83길 6-5 (갈현동),운영중,은평구
13,에스에프메디슨,서울특별시 은평구 응암동 84-2번지 신풍빌딩 6층 ,서울특별시 은평구 은평로13길 10 (응암동 신풍빌딩 6층),운영중,서대문구
14,(주)삼지벳,서울특별시 서대문구 연희동 90-15번지 ,서울특별시 서대문구 증가로 12 2층 (연희동 연희동우체국),운영중,마포구
15,한국엠에스디동물약품(주),서울특별시 마포구 공덕동 168번지 ,서울특별시 마포구 마포대로 163 8층 (공덕동 서울신용보증재단),운영중,
16,엠솔트레이딩,,서울특별시 양천구 목동동로 430 상가 A동 동 208호 (목동 목동신시가지아파트6단지),운영중,강서구
17,대양신약,서울특별시 강서구 공항동 1351-4번지 ,서울특별시 강서구 방화대로6다길 20-12 (공항동),운영중,구로구
18,(주)에스에이비바이오텍,서울특별시 구로구 구로동 685-140번지 605호 ,서울특별시 구로구 구일로10길 93 605호 (구로동),운영중,영등포구
