,사업장명,소재지전체주소,도로명전체주소,영업상태명,gu
1,퍼피스쿨,서울특별시 강서구 화곡동,서울특별시 강서구 화곡로13길 52 (화곡동),운영중,강서구
4,삼성애견,서울특별시 중구 신당동 333-199번지,서울특별시 중구 다산로24길 15 1층 (신당동),운영중,중구
6,뉴욕애견,서울특별시 중구 충무로4가,서울특별시 중구 퇴계로 221 (충무로4가),운영중,중구
8,우리집막내둥이,서울특별시 중구 충무로4가,서울특별시 중구 퇴계로 221-4 (충무로4가),운영중,중구
12,프로애견,서울특별시 중구 충무로4가 114번지,서울특별시 중구 퇴계로 221 (충무로4가),운영중,중구
15,일번지애견,서울특별시 중구 충무로4가 90-1번지,서울특별시 중구 퇴계로 227-2 (충무로4가),운영중,중구
16,펫,서울특별시 중구 충무로4가 104-1번지 1층,서울특별시 중구 퇴계로 225 1층 (충무로4가),운영중,중구
19,만세강아지,서울특별시 중구 충무로4가 94-1번지 1층,서울특별시 중구 퇴계로 227 1층 (충무로4가),운영중,중구
22,펫하우스,서울특별시 중구 충무로4가 114번지,서울특별시 중구 퇴계로 221 (충무로4가),운영중,중구
23,(주)이마트 청계천점,서울특별시 중구 황학동 2545번지 이마트청계천점 지하2층,서울특별시 중구 청계천로 400 지하2층 (황학동 이마트청계천점),운영중,중구
24,롯데마트 서울역점 2층 수족관,서울특별시 중구 봉래동2가 122번지,서울특별시 중구 청파로 426 (봉래동2가),운영중,중구
26,견리단길,서울특별시 용산구 이태원동 225-61번지,서울특별시 용산구 회나무로 26 (이태원동),운영중,강서구
27,영점일프로 강서점,서울특별시 강서구 화곡동 98-55번지,서울특별시 강서구 화곡로 194-5 2층 (화곡동),운영중,양천구
32,아이러브 독,서울특별시 양천구 신정동 985-1번지,서울특별시 양천구 은행정로 54 (신정동),운영중,양천구
33,쿨펫동물병원,서울특별시 양천구 목동 917-6번지,서울특별시 양천구 목동동로 309 (목동),운영중,양천구
34,개과천선,서울특별시 양천구 신월동 105-4번지,서울특별시 양천구 월정로 177 (신월동),운영중,양천구
39,쿨펫이마트목동점동물병원,서울특별시 양천구 목동 962번지,서울특별시 양천구 오목로 299 (목동),운영중,양천구
40,지디펫,서울특별시 양천구 신정동 1183-30번지  통,서울특별시 양천구 중앙로43길 11 (신정동),운영중,양천구
