"시군구코드","신고일자","업소명","영업상태코드","영업상태","휴업시작일자","휴업종료일자","폐업일자","재개업일자","행정처분일자","행정처분사유","전화번호","면적(㎡)","건물용도","건물구조","지하층","지상층","건물도시계획","건물주변환경","신고면허세종호","우편번호(지번)"
"3110000","20081126","이강신동물병원","0002","폐업","","","20150327","","","","307-7502","0.00","제2종근생","","0","0","","","",""
"3210000","19840109","이성환동물병원","0002","폐업","","","20180810","","","","593-8238","984.36","근린생활시설","철근콘크리트","1","3","","","",""
"3140000","20140114","리베동물의료센터","0002","폐업","","","20150130","","","","2604-0156","","","","","","","","",""
"3210000","20020923","My Friends 동물병원","0002","폐업","","","20030725","","","","532-4777","0.00","","","0","0","","","",""
"3110000","20031114","우신동물병원","0000","정상","","","","","","","356-7547","0.00","","","0","0","","","",""
"3110000","20040213","패미원동물병원","0002","폐업","","","20110330","","","","387-0075","999.50","근생","철근콘크리트조","1","4","","","",""
"3110000","20040218","에이스동물병원","0002","폐업","","","20080731","","","","359-4975","371.17","점포","세멘벽돌조","1","3","","","",""
"3210000","20050901","반포동물병원","0002","폐업","","","20061106","","","","02-532-4777","52.00","","","0","1","","","",""
"3210000","20051209","우성메디펫동물병원","0002","폐업","","","20161230","","","","5867505","30.00","근린생활시설","철근콘크리트","0","1","","","동물병원개설신고",""
"3210000","20051230","다니엘동물병원","0000","정상","","","","","","","","48.40","","","0","1","","","",""
"3210000","20060329","스누피동물병원","0002","폐업","","","20110104","","","","596-7975","45.57","","","0","0","","","",""
"3210000","20040409","서울동물병원","0002","폐업","","","20140502","","","","02-587-7582","38.40","근린생활시설","철근콘트리트연와조","0","0","","","",""
"3210000","20040414","이상록동물병원","0000","정상","","","","","","","02-533-5505","26.60","근린생활시설","철근콘크리트","0","1","","","",""
"3210000","20040528","엔터펫동물병원","0002","폐업","","","20060117","","","","02-583-7545","190.00","근린생활시설","철골조","0","1","","","",""
"3210000","20041007","21세기동물병원","0002","폐업","","","20080930","","","","3442-1613","58.00","","","0","1","","","",""
"3210000","20041202","예스동물병원","0002","폐업","","","20060220","","","","596-1175","74.00","","","0","0","","","",""
"3210000","20050128","잠원동물병원","0002","폐업","","","20140423","","","","3478-1045","18.00","","","0","2","","","",""
"3210000","20030106","STAR 동물종합병원","0002","폐업","","","20160830","","","","3447-1357","20.46","근린생활시설","철근콘크리트조","1","3","","","",""
"3210000","20030113","수동물병원","0000","정상","","","","","","","534-9773","0.00","","","0","0","","","",""
"3210000","20030619","잠원동물병원","0002","폐업","","","20040330","","","","3474-1045","22437.00","근린생활시설","철근콘크리트","1","3","","","",""
"3210000","20030705","엔터펫 종합동물병원","0002","폐업","","","20040525","","","","583-7545","162.12","근린생활시설","철근콘크리트","6","1","","","",""
"3210000","20030906","펫스테이션 클리닉센터","0002","폐업","","","20040629","","","","540-4911","127232.00","근린생활시설","철근콘크리트","4","5","","","",""
