"사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","총종업원수","축산물가공업구분명","축산업무구분명"
"펫코리아","서울특별시 중랑구 면목동 128-48번지 4층","서울특별시 중랑구 면목로73길 40 4층 (면목동)","20150612","폐업 등","20171215","","","","0","","","","동물판매업"
"퍼피스쿨","서울특별시 강서구 화곡동","서울특별시 강서구 화곡로13길 52 (화곡동)","20080627","운영중","","","","","0","","","","동물판매업"
"개팔자상팔자","서울특별시 강서구 화곡동 370-0053번지","","20080701","폐업 등","20180510","","","","","","","","동물판매업"
"베스트도그앤캣","서울특별시 중구 황학동","서울특별시 중구 마장로9길 43-3 (황학동)","20081113","폐업 등","20180409","","","","0","","","","동물판매업"
"삼성애견","서울특별시 중구 신당동 333-199번지","서울특별시 중구 다산로24길 15 1층 (신당동)","20081031","운영중","","","","","0","","","","동물판매업"
"참피온애견","서울특별시 중구 충무로4가 112-2","","20081031","폐업 등","20131105","","","","","","","","동물판매업"
"뉴욕애견","서울특별시 중구 충무로4가","서울특별시 중구 퇴계로 221 (충무로4가)","20081031","운영중","","","","","0","","","","동물판매업"
"SM애견","서울특별시 중구 충무로4가 114","","20081031","폐업 등","20111231","","","","","","","","동물판매업"
"우리집막내둥이","서울특별시 중구 충무로4가","서울특별시 중구 퇴계로 221-4 (충무로4가)","20140623","운영중","","","","","0","","","","동물판매업"
"준애견","서울특별시 중구 묵정동 32-1","","20081031","폐업 등","20110215","","","","","","","","동물판매업"
"한국애견경매장","서울특별시 중구 묵정동 32-3번지","서울특별시 중구 퇴계로 252-2 2층 (묵정동)","20081031","폐업 등","20140828","","","","0","","","","동물판매업"
"서울애견도매센타","서울특별시 중구 충무로5가 73-1","","20081031","폐업 등","20131105","","","","","","","","동물판매업"
"프로애견","서울특별시 중구 충무로4가 114번지","서울특별시 중구 퇴계로 221 (충무로4가)","20081031","운영중","","","","","0","","","","동물판매업"
"광일애견","서울특별시 중구 충무로5가 22-2","","20081031","폐업 등","20120801","","","","","","","","동물판매업"
"명품애견","서울특별시 중구 충무로5가 76-2번지","서울특별시 중구 퇴계로 238 (충무로5가)","20081031","폐업 등","20150213","","","","0","","","","동물판매업"
"일번지애견","서울특별시 중구 충무로4가 90-1번지","서울특별시 중구 퇴계로 227-2 (충무로4가)","20081031","운영중","","","","","0","","","","동물판매업"
"펫","서울특별시 중구 충무로4가 104-1번지 1층","서울특별시 중구 퇴계로 225 1층 (충무로4가)","20100827","운영중","","","","","0","","","","동물판매업"
"월드컵애견","서울특별시 중구 묵정동 32-1번지","서울특별시 중구 퇴계로 254-1 (묵정동)","20110218","폐업 등","20111024","","","","","","","","동물판매업"
"웰펫동물병원","서울특별시 중구 신당동 373-64번지","서울특별시 중구 동호로 178 (신당동)","20110412","폐업 등","20131021","","","","","","","","동물판매업"
"만세강아지","서울특별시 중구 충무로4가 94-1번지 1층","서울특별시 중구 퇴계로 227 1층 (충무로4가)","20110615","운영중","","","","","0","","","","동물판매업"
"위즈펫","서울특별시 중구 봉래동2가 122번지","서울특별시 중구 청파로 426 3층 (봉래동2가 롯데마트)","20110719","폐업 등","20180227","","","","0","","","","동물판매업"
"하주립애견","서울특별시 중구 묵정동 32-1번지","서울특별시 중구 퇴계로 254-1 (묵정동)","20111031","폐업 등","20160129","","","","0","","","","동물판매업"
"펫하우스","서울특별시 중구 충무로4가 114번지","서울특별시 중구 퇴계로 221 (충무로4가)","20120105","운영중","","","","","0","","","","동물판매업"
"(주)이마트 청계천점","서울특별시 중구 황학동 2545번지 이마트청계천점 지하2층","서울특별시 중구 청계천로 400 지하2층 (황학동 이마트청계천점)","20120813","운영중","","","","","0","","","","동물판매업"
"롯데마트 서울역점 2층 수족관","서울특별시 중구 봉래동2가 122번지","서울특별시 중구 청파로 426 (봉래동2가)","20120904","운영중","","","","","0","","","","동물판매업"
"Mr. Pet","서울특별시 중구 묵정동 32-1번지","서울특별시 중구 퇴계로 254-1 (묵정동)","20140409","폐업 등","20161125","","","","0","","","","동물판매업"
"견리단길","서울특별시 용산구 이태원동 225-61번지","서울특별시 용산구 회나무로 26 (이태원동)","20150612","운영중","","","","","0","","","","동물판매업"
"영점일프로 강서점","서울특별시 강서구 화곡동 98-55번지","서울특별시 강서구 화곡로 194-5 2층 (화곡동)","20151015","운영중","","","","","0","","","","동물판매업"
"퍼피하우스","서울특별시 양천구 목동 615-7번지 1층","서울특별시 양천구 목동중앙북로8나길 24 (목동1층)","20080413","폐업 등","20100604","","","","","","","","동물판매업"
"퍼피하우스","서울특별시 양천구 신월동 122-13번지","서울특별시 양천구 곰달래로 29 (신월동)","20080424","폐업 등","20111220","","","","","","","","동물판매업"
"쿨펫","서울특별시 양천구 목동 917-6번지","서울특별시 양천구 목동동로 309 (목동)","20080428","폐업 등","20081021","","","","","","","","동물판매업"
"펫샵","서울특별시 양천구 신월동 158-20번지","서울특별시 양천구 남부순환로40길 40 (신월동)","20080717","폐업 등","20110330","","","","","","","","동물판매업"
"아이러브 독","서울특별시 양천구 신정동 985-1번지","서울특별시 양천구 은행정로 54 (신정동)","20080717","운영중","","","","","","","","","동물판매업"
"쿨펫동물병원","서울특별시 양천구 목동 917-6번지","서울특별시 양천구 목동동로 309 (목동)","20081110","운영중","","","","","","","","","동물판매업"
