"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","총종업원수","축산물가공업구분명","축산업무구분명","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"1","솔동물약국","서울특별시 은평구 진관동 6번지 702동 113호","서울특별시 은평구 진관4로 77 702동 113호 (진관동)","20150504","운영중","","","","","","","","","동물약국","02-355-5304","193699.19495900000  ","460877.60794500000  ","311000001120150003","정상"
"2","봄약국","","서울특별시 서초구 헌릉로8길 45 상가동 2층 203호 (내곡동 서초포레스타2단지)","20170712","운영중","","","","","","","","","동물약국","02-575-0112","205229              ","439241              ","321000001120170003","정상"
"3","우리들약국","서울특별시 서초구 반포동 32-2번지 동화반포프라자빌딩 105호","서울특별시 서초구 서초중앙로 230 (반포동 동화반포프라자빌딩)","20151002","운영중","","","","","","","","","동물약국","02-537-9286","201063.25776700000  ","444743.51652600000  ","321000001120150004","정상"
"4","보룡동물약국","서울특별시 양천구 목동 613-5번지 ","서울특별시 양천구 목동중앙북로 3 (목동)","20130604","운영중","","","","","","","","","동물약국","2642-8345","187985.15223400000  ","449931.41224700000  ","314000001120130001","정상"
"5","백십자약국","서울특별시 양천구 신월동 575-30번지 ","서울특별시 양천구 신월로 176 (신월동)","20130614","운영중","","","","","","","","","동물약국","2693-3022","186114.14152300000  ","446574.19067500000  ","314000001120130005","정상"
"6","수정약국","서울특별시 양천구 신정동 1031-1번지 ","서울특별시 양천구 중앙로 276 (신정동)","20130619","운영중","","","","","","","","","동물약국","2644-3395","186994.86835800000  ","446826.82969700000  ","314000001120130006","정상"
"7","은혜약국","서울특별시 양천구 신정동 908-15번지 1층 ","서울특별시 양천구 오목로 193 1층 (신정동)","20130719","운영중","","","","","0","","","","동물약국","2698-1635","187524.56342600000  ","447352.94282500000  ","314000001120130008","정상"
"8","우주약국","서울특별시 양천구 신정동 314번지 목동8단지상가 113호 ","서울특별시 양천구 목동서로 280 (신정동 목동8단지상가 113호)","20130719","운영중","","","","","","","","","동물약국","2646-1001","188376.67630700000  ","447095.12073000000  ","314000001120130009","정상"
"9","한솔약국","서울특별시 양천구 신정동 323-16번지 대영프라자 109호 ","서울특별시 양천구 목동동로 63 (신정동 대영프라자 109호)","20130731","운영중","","","","","","","","","동물약국","2648-0507","187827.28232200000  ","446212.95901300000  ","314000001120130010","정상"
"10","메디팜금성약국","서울특별시 양천구 신월동 183-24번지 ","서울특별시 양천구 남부순환로40가길 15-1 (신월동)","20130816","운영중","","","","","","","","","동물약국","2605-7281","184547.51723500000  ","448244.80746200000  ","314000001120130011","정상"
"11","유명약국","서울특별시 양천구 신월동 550-3번지 1층 104호 ","서울특별시 양천구 신월로 164 1층 104호 (신월동)","20131022","운영중","","","","","","","","","동물약국","02-2696-1004","186033.69910600000  ","446487.01886200000  ","314000001120130012","정상"
"12","목동정문약국","서울특별시 양천구 목동 909-5번지 1층 105호 ","서울특별시 양천구 목동동로 435 1층 105호 (목동)","20140805","운영중","","","","","","","","","동물약국","2061-0214","189824.57368600000  ","448659.70132300000  ","314000001120140003","정상"
"13","김약국","서울특별시 양천구 신월동 931-1번지 ","서울특별시 양천구 지양로 75 (신월동)","20040322","운영중","","","","","0","","","","동물약국","","185267.39027600000  ","446979.12095000000  ","314000001120040002","정상"
"14","신왕약국","서울특별시 양천구 신월동 178-15번지 ","서울특별시 양천구 남부순환로40길 50 (신월동)","20040423","운영중","","","","","48","","","","동물약국","","184686.93150200000  ","448245.49642300000  ","314000001120040003","정상"
"15","대우실로암약국","서울특별시 양천구 신월동 18-4번지 ","서울특별시 양천구 월정로50길 10 (신월동)","20040913","운영중","","","","","56","","","","동물약국","2602-6489","185069.18940800000  ","449142.54646500000  ","314000001120040005","정상"
"16","양천동물약국","서울특별시 양천구 신월동 110-1번지 은성상가 ","서울특별시 양천구 곰달래로5길 30 (신월동 은성상가)","20120531","운영중","","","","","0","","","","동물약국","2697-0485","185280.22438600000  ","448116.57529900000  ","314000001120120001","정상"
"17","목동세명약국","서울특별시 양천구 목동 610-14번지 ","서울특별시 양천구 목동중앙북로 27 (목동)","20121205","운영중","","","","","","","","","동물약국","2645-7525","188213.55428900000  ","449890.50984300000  ","314000001120120004","정상"
"18","중앙약국","서울특별시 노원구 상계동 389-641번지 ","서울특별시 노원구 상계로27길 32 1층 (상계동)","20160523","운영중","","","","","","","","","동물약국","","206164.51588600000  ","462260.16207100000  ","310000001120160006","정상"
"19","보라매대학약국","서울특별시 동작구 신대방동 395-62번지 101호","서울특별시 동작구 보라매로5길 23 (신대방동 삼성보라매옴니타워)","20160601","운영중","","","","","","","","","동물약국","02-831-1922","193244.55054100000  ","443683.17062000000  ","319000001120160001","정상"
"20","EWHA우리약국","서울특별시 노원구 공릉동 517-31번지 ","서울특별시 노원구 동일로 1044 1층 (공릉동)","20160503","운영중","","","","","","","","","동물약국","","206537.25027700000  ","458198.90462800000  ","310000001120160005","정상"
"21","밝은미소약국","서울특별시 관악구 봉천동 463-4번지 107호","서울특별시 관악구 양녕로 46 107호 (봉천동 메카플러스)","20160523","운영중","","","","","0","","","","동물약국","02-877-0927","195337.86010300000  ","442967.38871400000  ","320000001120160004","정상"
"22","세븐약국","서울특별시 서초구 서초동 1553-3번지 스타갤러리브릿지 703호","서울특별시 서초구 서초대로 250 703호 (서초동 스타갤러리브릿지)","20160610","운영중","","","","","","","","","동물약국","02-598-7753","200811.33725900000  ","443613.58232000000  ","321000001120160007","정상"
"23","밝은약국","서울특별시 서초구 서초동 1303-10번지 서초한일유앤아이주상복합 106호","서울특별시 서초구 사평대로56길 7 106호 (서초동 서초한일유앤아이주상복합)","20160610","운영중","","","","","","","","","동물약국","02-535-1912","202079.69742000000  ","444860.34320100000  ","321000001120160008","정상"
"24","한우리 약국","","서울특별시 마포구 망원로 73 (망원동)","20160614","운영중","","","","","","","","","동물약국","","191610.36931000000  ","450891.69163600000  ","313000001120160003","정상"
"25","늘푸른솔약국","서울특별시 중랑구 면목동 115-1번지 ","서울특별시 중랑구 겸재로 178 (면목동)","20160519","운영중","","","","","0","","","","동물약국","02-439-3435","207719.74807600000  ","454290.76923500000  ","306000001120160003","정상"
"26","테헤란약국","서울특별시 강남구 역삼동 705-27번지 1층 ","서울특별시 강남구 테헤란로 337 1층 (역삼동)","20160616","운영중","","","","","","","","","동물약국","02-554-1737","204226              ","444728              ","322000001120160006","정상"
"27","참약사약국","서울특별시 성북구 종암동 3-686번지 1층 ","서울특별시 성북구 종암로 122 1층 (종암동 시원빌딩)","20160623","운영중","","","","","","","","","동물약국","","202994.92708000000  ","455733.29258200000  ","307000001120160001","정상"
"198","아이파크약국","","서울특별시 강동구 동남로79길 26 101호 (고덕동 고덕아이파크)","20170310","운영중","","","","","","","","","동물약국","02-481-9588","213800.39416600000  ","451199.31451400000  ","324000001120170003","정상"
"28","한빛약국","서울특별시 강서구 등촌동 695-1번지 ","서울특별시 강서구 강서로62길 98 102호 (등촌동 신한은행등촌점)","20160906","운영중","","","","","","","","","동물약국","02-3663-7118","186306.60696200000  ","451363.21680400000  ","315000001120160002","정상"
"29","구인당약국","서울특별시 강남구 대치동 511번지 미도상가 110호 ","서울특별시 강남구 삼성로 150 (대치동 한보미도맨션)","20160823","운영중","","","","","","","","","동물약국","","206155.52145600000  ","444031.00884400000  ","322000001120160011","정상"
"30","서래약국","서울특별시 서초구 방배동 773-17번지 1층 ","서울특별시 서초구 방배로 234 1층 (방배동 아이투비빌딩)","20160831","운영중","","","","","","","","","동물약국","02-3482-1535","199107.79775500000  ","443856.13705400000  ","321000001120160011","정상"
"31","금빛약국","서울특별시 도봉구 창동 569-85번지 ","서울특별시 도봉구 덕릉로 238 1층 (창동)","20160811","운영중","","","","","","","","","동물약국","","203411.59212500000  ","459929.39203200000  ","309000001120160008","정상"
"32","새고운약국","서울특별시 노원구 공릉동 615-21번지 ","서울특별시 노원구 동일로 1003 (공릉동)","20161116","운영중","","","","","0","","","","동물약국","02-973-9286","206589.81049300000  ","457792.96063500000  ","310000001120160007","정상"
"33","햇빛약국","서울특별시 강서구 화곡동 772-85번지 ","서울특별시 강서구 등촌로 59-1 (화곡동)","20161122","운영중","","","","","","","","","동물약국","02-2062-7159","187907.31530800000  ","448440.07343700000  ","315000001120160003","정상"
"34","팜코리아약국","서울특별시 송파구 석촌동 277-1번지 ","서울특별시 송파구 가락로 99 (석촌동)","20161031","운영중","","","","","","","","","동물약국","424-6167","209457.83271500000  ","444637.27048700000  ","323000001120160010","정상"
"35","명성약국","서울특별시 광진구 구의동 230-23번지 ","서울특별시 광진구 광나루로40길 14 (구의동)","20170323","운영중","","","","","","","","","동물약국","02-444-7848","207892.39154600000  ","449406.51593800000  ","304000001120170003","정상"
"36","하나로약국","서울특별시 도봉구 창동 1-15번지 ","서울특별시 도봉구 마들로11길 20 (창동 농협창동유통센타)","20170314","운영중","","","","","0","","","","동물약국","404-3836","204674.27785400000  ","461798.94126100000  ","309000001120170002","정상"
"37","압구정온누리약국","","서울특별시 강남구 압구정로 164 105호 (신사동 아세아빌딩)","20170410","운영중","","","","","","","","","동물약국","","202444.03432800000  ","447449.34572300000  ","322000001120170002","정상"
"38","재원약국","서울특별시 강북구 미아동 1356번지 상가동 120호","서울특별시 강북구 오패산로30길 30 상가동 120호 (미아동 경남아너스빌)","20170406","운영중","","","","","","","","","동물약국","02-989-5379","203191.51828100000  ","457418.80334600000  ","308000001120170004","정상"
