,사업장명,소재지전체주소,도로명전체주소,영업상태명,gu
0,피씨상사,서울특별시 종로구 장사동 57번지 2층2호,,운영중,종로구
2,동경메디교역상사,서울특별시 종로구 종로3가 125-2번지 (3층),,운영중,종로구
6,(주)영동싸이언스,서울특별시 종로구 종로3가 147번지 금천빌딩205,,운영중,종로구
8,(주)메드로코리아,서울특별시 종로구 숭인동 1404번지 타임빌딩202호,,운영중,종로구
9,바다르산스(주),서울특별시 종로구 숭인동 178-142 3층,,운영중,종로구
10,태리메디칼,서울특별시 종로구 종로5가 3-1번지,서울특별시 종로구 종로 255 (종로5가),운영중,중구
16,고운덴탈,서울특별시 중구 봉래동1가 132-6번지 일신빌딩 301호,서울특별시 중구 통일로 24 301호 (봉래동1가 일신빌딩),운영중,중구
17,주식회사 제타이미징,서울특별시 중구 서소문동,서울특별시 중구 서소문로11길 50 607호 (서소문동),운영중,중구
18,루가노메디컬,서울특별시 중구 서소문동 39-1번지,서울특별시 중구 서소문로11길 50 607호 (서소문동 신아빌딩),운영중,중구
19,퀴아젠코리아 유한회사,서울특별시 중구 남대문로5가 541번지,서울특별시 중구 한강대로 416 5층 (남대문로5가 서울스퀘어),운영중,중구
20,에스케이텔레콤(주),서울특별시 중구 을지로2가 11번지 SK텔레콤빌딩,서울특별시 중구 을지로 65 SK텔레콤빌딩 (을지로2가),운영중,중구
21,(주)케이디알한국기업서비스,서울특별시 중구 황학동 715번지 기업은행성동지점,서울특별시 중구 퇴계로 439 기업은행성동지점 (황학동),운영중,중구
22,지유(GU)조명,서울특별시 중구 주교동 123-1번지 세진빌딩,서울특별시 중구 창경궁로 67 세진빌딩 3층 302호 (주교동),운영중,용산구
27,(주)레이케어,서울특별시 용산구 한강로1가 50-1번지 D동 701호,서울특별시 용산구 한강대로 205 D동 7층 701호 (한강로1가 용산파크자이),운영중,용산구
29,쥴릭파마코리아(주),서울특별시 용산구 한강로2가 191번지,서울특별시 용산구 한강대로 92 3층 (한강로2가),운영중,용산구
30,주식회사 펫탑,서울특별시 용산구 후암동 252-7번지,서울특별시 용산구 후암로4길 7 지하1층 (후암동),운영중,성동구
32,제이호홀딩스 주식회사,서울특별시 성동구 옥수동 367-1번지 미타사빌딩 403호,서울특별시 성동구 한림말3길 2 403호 (옥수동),운영중,성동구
33,도담동물병원,서울특별시 성동구 행당동 344번지 상가동 111호,서울특별시 성동구 독서당로 441 (행당동 신동아아파트),운영중,성동구
34,(주)에스씨포인트,서울특별시 성동구 성수동1가 13-164번지 서울숲 IT 밸리 502호,서울특별시 성동구 성수일로 77 서울숲 IT 밸리 502호 (성수동1가),운영중,광진구
38,(주)포인트헬스케어,서울특별시 광진구 능동 255-18번지 노블레스빌 601602호,서울특별시 광진구 천호대로 632 (능동),운영중,광진구
40,우주상사,서울특별시 광진구 구의동 233-26번지 12층,서울특별시 광진구 광나루로 528-8 (구의동),운영중,광진구
41,진영상사,서울특별시 광진구 군자동 366-14번지,서울특별시 광진구 광나루로19길 44-1 (군자동),운영중,동대문구
42,동래상사,서울특별시 동대문구 용두동 763-4   번지,,운영중,동대문구
43,JS의료기,서울특별시 동대문구 전농동 494-8번지,서울특별시 동대문구 답십리로21길 21 (전농동),운영중,
44,KH메디칼,,서울특별시 동대문구 회기로 121 (회기동),운영중,
45,아산제약(주),,서울특별시 동대문구 청계천로 485 (신설동 청계천 대성 스카이렉스1),운영중,동대문구
46,동아에스티(주),서울특별시 동대문구 용두동 249-1번지,서울특별시 동대문구 천호대로 64 (용두동),운영중,중랑구
48,(주)동도바이오텍,서울특별시 중랑구 중화동 324-1번지 정광빌딩 501호,서울특별시 중랑구 중랑천로 117 501호 (중화동 정광빌딩),운영중,중랑구
