구별,CCTV설치소계,최근증가율,범죄소계,살인,강도,강간강제추행,절도,폭력,살인율,강도율,강추율,절도율,폭력율
강남구,3238,150.61919504643964,8149,5,39,516,3587,4002,0.061357221744999385,0.47858632961099523,6.332065284083936,44.01767087986256,49.11032028469751
강동구,1010,166.49076517150397,4462,4,14,160,1754,2530,0.08964589870013448,0.3137606454504706,3.585835948005379,39.30972658000896,56.70103092783505
강북구,831,125.20325203252031,4229,7,5,217,1222,2778,0.1655237644833294,0.11823126034523528,5.131236698983211,28.895720028375504,65.68928824781273
강서구,911,134.7938144329897,5450,9,10,275,1952,3204,0.1651376146788991,0.1834862385321101,5.045871559633028,35.81651376146789,58.78899082568807
관악구,2109,149.29078014184398,5678,6,12,322,2103,3235,0.10567101091933778,0.21134202183867556,5.671010919337795,37.037689327227895,56.97428672067629
광진구,878,53.22862129144852,5322,4,11,279,2636,2392,0.0751597143930853,0.20668921458098458,5.2423900789177,49.53025178504322,44.945509207065015
구로구,1884,64.97373029772329,5366,9,10,273,1910,3164,0.16772269847185986,0.18635855385762207,5.087588520313082,35.59448378680582,58.96384644055163
금천구,1348,100.0,3645,6,7,175,1264,2193,0.1646090534979424,0.19204389574759945,4.801097393689986,34.67764060356653,60.16460905349794
노원구,1566,188.929889298893,4543,5,6,159,1857,2516,0.11005943209333038,0.13207131851199647,3.4998899405679067,40.87607307946291,55.38190622936385
도봉구,825,246.6386554621849,2438,3,5,123,866,1441,0.12305168170631665,0.20508613617719443,5.045118949958983,35.520918785890075,59.10582444626743
동대문구,1870,74.76635514018692,4787,5,10,190,1940,2642,0.10444955086693128,0.20889910173386256,3.9690829329433885,40.52642573636933,55.19114267808648
동작구,1302,139.33823529411765,3227,8,7,325,1226,1661,0.2479082739386427,0.21691973969631237,10.07127362875736,37.99194298109699,51.47195537651069
마포구,980,212.1019108280255,5873,4,4,399,2527,2939,0.06810829218457347,0.06810829218457347,6.793802145411204,43.02741358760429,50.042567682615356
서대문구,1254,48.5781990521327,3665,6,5,175,1503,1976,0.1637107776261937,0.1364256480218281,4.774897680763983,41.00954979536153,53.915416098226466
서초구,2297,63.37126600284495,4989,5,13,428,2205,2338,0.10022048506714773,0.2605732611745841,8.578873521747846,44.19723391461214,46.863098817398274
성동구,1327,81.78082191780823,3026,4,3,104,1296,1619,0.13218770654329146,0.09914077990746861,3.4368803701255786,42.82881692002643,53.502974223397224
성북구,1651,63.62735381565907,3744,4,8,154,1470,2108,0.10683760683760685,0.2136752136752137,4.113247863247863,39.26282051282051,56.3034188034188
송파구,1081,104.34782608695652,6090,9,15,234,2543,3289,0.1477832512315271,0.24630541871921183,3.842364532019704,41.75697865353038,54.00656814449918
양천구,2482,34.67173087357569,4112,5,7,131,1719,2250,0.12159533073929961,0.17023346303501946,3.1857976653696496,41.804474708171206,54.71789883268483
영등포구,1277,157.97979797979798,6322,13,19,356,2341,3593,0.2056311293894337,0.30053780449224926,5.631129389433723,37.029421069281874,56.83328060740273
용산구,2096,53.216374269005854,4137,4,9,251,1489,2384,0.09668842156151801,0.21754894851341552,6.067198452985255,35.992264926275084,57.62629925066474
은평구,2108,85.23725834797891,4501,6,9,156,1666,2664,0.13330371028660298,0.19995556542990447,3.4658964674516777,37.01399688958009,59.18684736725173
종로구,1619,248.92241379310346,4459,6,12,238,1940,2263,0.13455931823278763,0.26911863646557527,5.337519623233909,43.50751289526799,50.751289526799724
중구,1023,147.6997578692494,4584,3,8,198,2150,2225,0.06544502617801047,0.17452006980802792,4.319371727748691,46.9022687609075,48.538394415357764
중랑구,916,79.96070726915521,5041,8,14,164,1691,3164,0.1586986708986312,0.27772267407260465,3.25332275342194,33.544931561198176,62.76532434040865
